pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,also_in_entry
num_3494,Volume 2,439,,4800,Dr Burnet,4776-4800,,,,,<a href='/digital-beehive/index1/index_0486/'>Dr Burnet</a>,#item-580947632,,Entry: 4800|Topic: Dr Burnet|Index: Dr Burnet|#item-580947632,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/427,4341,2233,225/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283091562,243914341,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0906/427,4341,600,180/250,/0/default.jpg",4800. Dr Burnet,<a href='/digital-beehive/toc/toc2_429/'>Full Page</a>,,
num_3495,Volume 2,440,,4801,[WORD_MISSING],4801-4825,,,,,<a href='/digital-beehive/index3/index_2065/'>to inspect</a>,#item-bccf931c0,,Entry: 4801|Topic: [WORD_MISSING]|Index: to inspect|#item-bccf931c0,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/868,260,2787,159/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283154098,244010260,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/868,260,600,180/250,/0/default.jpg",4801. [WORD_MISSING],<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,The entry number and topic are illegible due to damage. We have labeled this entry with the logical number in the sequence.,
num_3496,Volume 2,440,,4802,Chevy chase,4801-4825,,,,,<a href='/digital-beehive/index1/index_0625/'>chevy-chase</a>,#item-a2f7b2295,,Entry: 4802|Topic: Chevy chase|Index: chevy-chase|#item-a2f7b2295,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/803,666,2725,172/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283231069,244010666,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/803,666,600,180/250,/0/default.jpg",4802. Chevy chase,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,<a href='/digital-beehive/num11/num_3497/'>Abr. Cowley</a>
num_3497,Volume 2,440,,4802,Abr. Cowley,4801-4825,<a href='/digital-beehive/toc/toc1_113/'>p.59.2 [Image 1.124]</a>,,,,<a href='/digital-beehive/index1/index_0888/'>cowley</a>,#item-64075b673,,Entry: 4802|Topic: Abr. Cowley|Page: p.59.2 [Image 1.124]|Index: cowley|#item-64075b673,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/823,753,2673,242/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283412305,244010753,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/823,753,600,180/250,/0/default.jpg",4802. Abr. Cowley,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,<a href='/digital-beehive/num11/num_3496/'>Chevy chase</a>
num_3498,Volume 2,440,,4803,Coxcombs,4801-4825,,,,,<a href='/digital-beehive/index1/index_0890/'>coxcombs</a>,#item-f3e61de47,,Entry: 4803|Topic: Coxcombs|Index: coxcombs|#item-f3e61de47,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/846,1083,1685,180/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283568161,244011083,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/846,1083,600,180/250,/0/default.jpg",4803. Coxcombs,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,"The Octavo Index entry for ""coxcombs"" mistakenly lists 1803. Pastorius likely meant to list this entry.",
num_3499,Volume 2,440,,4804,Parrot,4801-4825,,,,,<a href='/digital-beehive/index4/index_2890/'>parrot</a>,#item-72d68d56d,,Entry: 4804|Topic: Parrot|Index: parrot|#item-72d68d56d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/785,1529,2737,239/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283641920,244011529,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/785,1529,600,180/250,/0/default.jpg",4804. Parrot,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,
num_3500,Volume 2,440,,4805,Arist[ae]netus,4801-4825,,,,,<a href='/digital-beehive/index1/index_0202/'>aristaenetus</a>,#item-99b58c948,,Entry: 4805|Topic: Arist[ae]netus|Index: aristaenetus|#item-99b58c948,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/845,2098,2427,198/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680283979621,244012098,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/845,2098,600,180/250,/0/default.jpg",4805. Arist[ae]netus,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,
num_3501,Volume 2,440,,4806,Coquets,4801-4825,,,,,<a href='/digital-beehive/index1/index_0845/'>coquets</a>|<a href='/digital-beehive/index2/index_1543/'>fribler</a>,#item-23926345a,,Entry: 4806|Topic: Coquets|Index: coquets|Index: fribler|#item-23926345a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/822,2501,2708,245/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284036011,244012501,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/822,2501,600,180/250,/0/default.jpg",4806. Coquets,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,
num_3502,Volume 2,440,,4807,Annihilation,4801-4825,,,,,<a href='/digital-beehive/index1/index_0149/'>annihilation</a>,#item-701c3ff39,,Entry: 4807|Topic: Annihilation|Index: annihilation|#item-701c3ff39,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/836,2983,1941,192/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284115622,244012983,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/836,2983,600,180/250,/0/default.jpg",4807. Annihilation,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,
num_3503,Volume 2,440,,4808,Parricide,4801-4825,,,,,<a href='/digital-beehive/index4/index_2888/'>parricide</a>,#item-51293052b,,Entry: 4808|Topic: Parricide|Index: parricide|#item-51293052b,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/844,3301,2710,243/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1680284188328,244013301,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0907/844,3301,600,180/250,/0/default.jpg",4808. Parricide,<a href='/digital-beehive/toc/toc2_430/'>Full Page</a>,,
