pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc2_208,2,218,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1071,1075,208,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0685/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0685/full/full/0/default.jpg,
toc2_209,2,219,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1076,1080,209,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0686/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0686/full/full/0/default.jpg,
toc2_210,2,220,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1081,1085,210,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0687/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0687/full/full/0/default.jpg,
toc2_211,2,221,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1086,1090,211,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0688/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0688/full/full/0/default.jpg,
toc2_212,2,222,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1091,1095,212,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0689/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0689/full/full/0/default.jpg,
toc2_213,2,223,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1096,1100,213,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0690/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0690/full/full/0/default.jpg,
toc2_214,2,224,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1101,1105,214,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0691/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0691/full/full/0/default.jpg,
toc2_215,2,225,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1106,1110,215,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0692/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0692/full/full/0/default.jpg,
toc2_216,2,226,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1111,1115,216,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0693/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0693/full/full/0/default.jpg,
toc2_217,2,227,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1116,1120,217,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0694/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0694/full/full/0/default.jpg,
toc2_218,2,228,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1121,1125,218,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0695/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0695/full/full/0/default.jpg,
toc2_219,2,229,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1126,1130,219,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0696/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0696/full/full/0/default.jpg,
toc2_220,2,230,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1131,1135,220,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0697/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0697/full/full/0/default.jpg,
toc2_221,2,231,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1136,1140,221,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0698/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0698/full/full/0/default.jpg,
toc2_222,2,232,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1141,1144,222,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0699/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0699/full/full/0/default.jpg,
