pid,volume,image,type,toc_title,toc_link,section_title,pastorius_section_header,pastorius_description,contents,First entry,Last entry,order,thumbnail,full,notes_DONOTUSE
toc3_59,3,59,Blank Page,,,,,,,,,59,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1002/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1002/full/full/0/default.jpg,
toc3_60,3,60,Miscellania,Miscellaneous Verse,Miscellaneous_Verse,,,,Miscellaneous Verse,,,60,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1003/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1003/full/full/0/default.jpg,
toc3_61,3,61,Miscellania,,,,,,Miscellaneous Verse,,,61,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1004/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1004/full/full/0/default.jpg,
toc3_62,3,62,The Book's Physical Properties,The Book's Physical Properties,The_Books_Physical_Properties,,,,Octavo Alvearium Index Back Cover,,,62,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1005/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1005/full/full/0/default.jpg,
toc3_63,3,63,The Book's Physical Properties,,,,,,Octavo Alvearium Index Spine,,,63,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1006/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1006/full/full/0/default.jpg,
toc3_64,3,64,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Spine,,,64,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1007/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1007/full/full/0/default.jpg,
toc3_65,3,65,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Front Cover (Outer),,,65,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1008/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1008/full/full/0/default.jpg,
toc3_66,3,66,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Front Cover (Interior Flap Fully Opened),,,66,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1009/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1009/full/full/0/default.jpg,
toc3_67,3,67,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Back Cover (Inside),,,67,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1010/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1010/full/full/0/default.jpg,
toc3_68,3,68,The Book's Physical Properties,,,,,,Original Folio Bee-Hive Back Cover (Outer),,,68,"https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1011/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651%2F1607_1011/full/full/0/default.jpg,
