pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,insertion_xref
index_0963,Volume 3,15,fear of Death,<a href='/digital-beehive/alpha1/alpha_0215/'>a</a>|<a href='/digital-beehive/num2/num_0526/'>424 [Fear of death]</a>|<a href='/digital-beehive/num5/num_1605/'>1177 [Fear of Death]</a>|<a href='/digital-beehive/num5/num_1700/'>1234 [Fear & Contempt of Death]</a>|4605 [[PAGE_MISSING]],,F,,,,,,#item-a34b105b4,,Head: fear of Death|Entry: a |Entry: 424 [Fear of death]|Entry: 1177 [Fear of Death]|Entry: 1234 [Fear & Contempt of Death]|Entry: 4605 [[PAGE_MISSING]]|#item-a34b105b4,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0958/1547,3304,664,163/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0958/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1507572900847,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0958/1547,3304,664,163/150,/0/default.jpg",fear of Death,<a href='/digital-beehive/toc/toc3_15/'>Full Page</a>,,
index_1164,Volume 3,18,empire,<a href='/digital-beehive/alpha2/alpha_0284/'>a</a>,,E,,,,,,#item-a3b4bc93e,,Head: empire|Entry: a|#item-a3b4bc93e,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1873,265,377,149/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559745014362,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1873,265,377,149/150,/0/default.jpg",empire,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1168,Volume 3,18,eel,<a href='/digital-beehive/alpha2/alpha_0280/'>a</a>,,E,<a href='/digital-beehive/toc/toc1_086/'>p.36 [Image 1.96]</a>,,,,,#item-8c7c555e8,,Head: eel|Page: p.36 [Image 1.96]|Entry: a|#item-8c7c555e8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1183,1054,377,131/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559672990773,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1183,1054,377,131/150,/0/default.jpg",eel,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1169,Volume 3,18,effect,761 [PAGE_MISSING],,E,,,,,,#item-4a876c5e3,,Head: effect|Entry: 761 [PAGE_MISSING]|#item-4a876c5e3,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1187,1131,398,166/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559673084477,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1187,1131,398,166/150,/0/default.jpg",effect,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1172,Volume 3,18,egg,<a href='/digital-beehive/alpha2/alpha_0281/'>a</a>|<a href='/digital-beehive/num7/num_2523/'>1651 [Eggs]</a>,,E,,,,,,#item-2f9927409,,Head: egg|Entry: a|Entry: 1651 [Eggs]|#item-2f9927409,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1165,1597,346,122/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559673564143,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1165,1597,346,122/150,/0/default.jpg",egg,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1173,Volume 3,18,either,<a href='/digital-beehive/num3/num_1075/'>724 [Each]</a>,,E,,,,,,#item-ce42b6daa,,Head: either|Entry: 724 [Each]|#item-ce42b6daa,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1169,1811,387,114/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559673819198,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1169,1811,387,114/150,/0/default.jpg",either,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1174,Volume 3,18,ear,<a href='/digital-beehive/alpha2/alpha_0273/'>a</a>|<a href='/digital-beehive/num6/num_2015/'>1402 [Ear]</a>,,E,,,,,,#item-3fc1a8fab,,Head: ear|Entry: a|Entry: 1402 [Ear]|#item-3fc1a8fab|,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/442,1846,390,73/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559666577546,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/442,1846,390,73/150,/0/default.jpg",ear,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1175,Volume 3,18,early,[PAGE_MISSING],,E,,,,,,#item-4bb2e1fe4,,Head: early|Entry: [PAGE_MISSING]|#item-4bb2e1fe4,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/437,1999,374,142/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559666788810,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/437,1999,374,142/150,/0/default.jpg",early,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1176,Volume 3,18,elders,<a href='/digital-beehive/num3/num_0825/'>617 [Elders]</a>,,E,,,,,,#item-d89339fb7,,Head: elders|Entry: 617 [Elders]|#item-d89339fb7,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1135,2029,395,112/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559674457684,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1135,2029,395,112/150,/0/default.jpg",elders,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
index_1177,Volume 3,18,Elijah,<a href='/digital-beehive/num2/num_0325/'>288 [Elijah]</a>,,E,,,,,,#item-9a9bfaf30,,Head: Elijah|Entry: 288 [Elijah]|#item-9a9bfaf30,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1160,2409,376,147/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559678780427,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0961/1160,2409,376,147/150,/0/default.jpg",Elijah,<a href='/digital-beehive/toc/toc3_18/'>Full Page</a>,,
