pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,insertion_xref
index_2188,Volume 3,27,knot,801 [PAGE_MISSING],,K,,,,,,#item-6f58770db,,Head: knot|Entry: 801 [PAGE_MISSING]|#item-6f58770db,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/830,2435,310,135/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559762683164,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/830,2435,310,135/150,/0/default.jpg",knot,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2189,Volume 3,27,late,<a href='/digital-beehive/alpha3/alpha_0521/'>a</a>,,L,,<a href='/digital-beehive/index4/index_3376/'>repentance</a>,,,,#item-4294c44c6,,Head: late|Entry: a|Add: repentance|#item-4294c44c6,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1548,2478,497,204/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836429486,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1548,2478,497,204/150,/0/default.jpg",late,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2190,Volume 3,27,I know not,4597 [PAGE_MISSING],,K,,,,,,#item-7f6029546,,Head: I know not|Entry: 4597 [PAGE_MISSING]|#item-7f6029546,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/812,2534,556,133/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559762727663,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/812,2534,556,133/150,/0/default.jpg",I know not,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2191,Volume 3,27,justice,<a href='/digital-beehive/alpha3/alpha_0499/'>a</a>|<a href='/digital-beehive/num6/num_1940/'>1366 [Justice]</a>,,I/J,,,,,,#item-1f8706f72,,Head: justice|Entry: a|Entry: 1366 [Justice]|#item-1f8706f72,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/134,2565,487,133/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559758819991,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/134,2565,487,133/150,/0/default.jpg",justice,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2192,Volume 3,27,knowledge,<a href='/digital-beehive/alpha3/alpha_0507/'>a</a>|<a href='/digital-beehive/num9/num_3033/'>2098 [Knowledge]</a>|<a href='/digital-beehive/num10/num_3278/'>2315 [Knowledge]</a>,,K,,,,,,#item-a81106176,,Head: knowledge|Entry: a|Entry: 2098 [Knowledge]|Entry: 2315 [Knowledge]|#item-a81106176,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/822,2573,899,216/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559833007029,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/822,2573,899,216/150,/0/default.jpg",knowledge,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,"It unclear which entries are for ""knowledge"" and which for ""knowledge of God.""",
index_2193,Volume 3,27,knowledge of God,<a href='/digital-beehive/num4/num_1286/'>965 [Knowledge]</a>|<a href='/digital-beehive/num7/num_2611/'>1695 [Knowledge]</a>|<a href='/digital-beehive/num9/num_3033/'>2098 [Knowledge]</a>|<a href='/digital-beehive/num11/num_3532/'>4837 [Knowledge]</a>,,K,,,,,,#item-14a3429d8,,Head: knowledge of God|Entry: 965 [Knowledge]|Entry: 1695 [Knowledge]|Entry: 2098 [Knowledge]|Entry: 4837 [Knowledge]|#item-14a3429d8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/811,2623,894,209/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559833152442,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/811,2623,894,209/150,/0/default.jpg",knowledge of God,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,"It unclear which entries are for ""knowledge"" and which for ""knowledge of God.""",
index_2194,Volume 3,27,justice of the peace,<a href='/digital-beehive/num8/num_2769/'>1835 [Justice of the Peace]</a>|4752 [PAGE_MISSING],,I/J,,,,,,#item-c22e8fd90,,Head: justice of the peace|Entry: 1835 [Justice of the Peace]|Entry: 4752 [PAGE_MISSING]|#item-c22e8fd90,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/158,2627,677,111/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559758944766,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/158,2627,677,111/150,/0/default.jpg",justice of the peace,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2195,Volume 3,27,justice and mercy,<a href='/digital-beehive/num9/num_3158/'>2216 [Justice & Mercy]</a>,,I/J,,,,,,#item-f06729d1c,,Head: justice and mercy|Entry: 2216 [Justice & Mercy]|#item-f06729d1c,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/149,2670,572,220/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559759150045,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/149,2670,572,220/150,/0/default.jpg",justice and mercy,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,"Pastorius appears to have written 1216 under this entry. However, he likely meant to write 2216 [Justice & Mercy].",
index_2196,Volume 3,27,lately,,,L,,,,<a href='/digital-beehive/index3/index_2714/'>newly</a>,,#item-3c7c99b47,,Head: lately|See: newly|#item-3c7c99b47,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1538,2672,473,177/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559836554306,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/1538,2672,473,177/150,/0/default.jpg",lately,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
index_2197,Volume 3,27,justification,<a href='/digital-beehive/alpha3/alpha_0500/'>a</a>|<a href='/digital-beehive/num2/num_0474/'>390 [Justification]</a>|<a href='/digital-beehive/num5/num_1358/'>1017 [Justification]</a>,,I/J,,,,,,#item-6b7ab6f0f,,Head: justification|Entry: a|Entry: 390 [Justification]|Entry: 1017 [Justification]|#item-6b7ab6f0f,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/106,2700,755,143/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1559759250517,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0970/106,2700,755,143/150,/0/default.jpg",justification,<a href='/digital-beehive/toc/toc3_27/'>Full Page</a>,,
