pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,insertion_xref
index_0011,Volume 3,7,aborsmt,,,A,,,,<a href='/digital-beehive/index5/index_4423/'>untimely</a>,,#item-59e871534,,Head: aborsmt|See: untimely|#item-59e871534,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/180,964,620,161/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758825112,300710964,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/180,964,620,161/150,/0/default.jpg",aborsmt,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0012,Volume 3,7,about,825 [PAGE_MISSING],,A,,,,,,#item-81e87df73,,Head: about|Entry: 825 [PAGE_MISSING]|#item-81e87df73,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,1060,410,97/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758883386,300711060,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,1060,410,97/150,/0/default.jpg",about,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0013,Volume 3,7,absence,<a href='/digital-beehive/alpha1/alpha_0001/'>a</a>|<a href='/digital-beehive/num6/num_2007/'>1397 [Absence]</a>,,A,,,,,,#item-9544e8d82,,Head: absence|Entry: a|Entry: 1397 [Absence]|#item-9544e8d82,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/186,1155,535,136/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758963273,300711155,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/186,1155,535,136/150,/0/default.jpg",absence,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0014,Volume 3,7,absolutely,<a href='/digital-beehive/num6/num_2174/'>1475 [Absolutely]</a>,,A,,,,,,#item-ea505db5b,,Head: absolutely|Entry: 1475 [Absolutely]|#item-ea505db5b,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/202,1255,532,117/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191079887,300711255,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/202,1255,532,117/150,/0/default.jpg",absolutely,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0015,Volume 3,7,absolution,857 [PAGE_MISSING],,A,,,,,,#item-0abfec871,,Head: absolution|Entry: 857 [PAGE_MISSING]|#item-0abfec871,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,1343,527,147/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759101047,300711343,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,1343,527,147/150,/0/default.jpg",absolution,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0016,Volume 3,7,abstinence,,,A,,,,<a href='/digital-beehive/index1/index_0825/'>continence</a>,,#item-78d3399a8,,Head: abstinence|See: continence|#item-78d3399a8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/189,1439,751,142/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759241606,300711439,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/189,1439,751,142/150,/0/default.jpg",abstinence,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0017,Volume 3,7,abstract,<a href='/digital-beehive/num2/num_0453/'>374 [Brevity]</a>|<a href='/digital-beehive/num6/num_1879/'>1335 [Brevity]</a>,,A,,,,,,#item-0c9415140,,Head: abstract|Entry: 374 [Brevity]|Entry: 1335 [Brevity]|#item-0c9415140,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,1527,578,150/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759294813,300711527,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,1527,578,150/150,/0/default.jpg",abstract,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0018,Volume 3,7,absurdity,<a href='/digital-beehive/alpha1/alpha_0002/'>a</a>|<a href='/digital-beehive/num4/num_1218/'>919 [Absurd]</a>|<a href='/digital-beehive/num9/num_3149/'>2205 [Absurd]</a>,,A,,,,,,#item-63eec4140,,Head: absurdity|Entry: a|Entry: 919 [Absurd]|Entry: 2205 [Absurd]|#item-63eec4140,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/187,1631,736,144/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759380351,300711631,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/187,1631,736,144/150,/0/default.jpg",absurdity,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0019,Volume 3,7,abundance,<a href='/digital-beehive/alpha1/alpha_0003/'>a</a>,,A,,,,,,#item-38e4e1654,,Head: abundance|Entry: a|#item-38e4e1654,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/180,1754,491,118/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759443543,300711754,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/180,1754,491,118/150,/0/default.jpg",abundance,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0020,Volume 3,7,abuse,<a href='/digital-beehive/alpha1/alpha_0004/'>a</a>|<a href='/digital-beehive/num5/num_1492/'>1102 [Abuse]</a>,,A,,,,,,#item-d991d0f56,,Head: abuse|Entry: a|Entry: 1102 [Abuse]|#item-d991d0f56,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/186,1859,465,110/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1558817059782,300711859,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/186,1859,465,110/150,/0/default.jpg",abuse,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
